id,gene_id,gene_name,cnv_type,gene_strand,gene_description,contig,start,end,frq_An_arabiensis_2015,frq_An_coluzzii_2012,frq_An_coluzzii_2014,frq_An_coluzzii_2015,frq_An_coluzzii_2016,frq_An_coluzzii_2017,frq_An_gambiae_ss_2012,frq_An_gambiae_ss_2014,frq_An_gambiae_ss_2015,frq_An_gambiae_ss_2016,frq_An_gambiae_ss_2017,max_af
38,AGAP005749,GSTO1,amp,-,glutathione S-transferase omega class 1 [Source:VB Community Annotation],2L,20197176,20199146,0,0,0.008130081,0.006024096,0.037974684,0.006289308,0,0.00729927,0.007751938,0,0,0.037974684
39,AGAP009191,GSTE6,del,+,glutathione S-transferase epsilon class 6 [Source:VB Community Annotation],3R,28593714,28594762,0.023255814,0,0,0,0,0,0,0,0,0,0,0.023255814
40,AGAP009192,GSTE5,del,-,glutathione S-transferase epsilon class 5 [Source:VB Community Annotation],3R,28594993,28595802,0.023255814,0,0,0,0,0,0,0,0,0,0,0.023255814
41,AGAP009193,GSTE4,amp,-,glutathione S-transferase epsilon class 4 [Source:VB Community Annotation],3R,28595948,28596868,0,0,0,0.006024096,0.006329114,0.012578616,0,0.01459854,0.007751938,0.009708738,0,0.01459854
42,AGAP009193,GSTE4,del,-,glutathione S-transferase epsilon class 4 [Source:VB Community Annotation],3R,28595948,28596868,0.023255814,0,0,0,0,0,0,0,0,0,0,0.023255814
43,AGAP009194,GSTE2,amp,-,glutathione S-transferase epsilon class 2 [Source:VB Community Annotation],3R,28597652,28598640,0.441860465,0.2125,0.097560976,0.060240964,0.044303797,0.106918239,0,0,0.007751938,0,0,0.441860465
44,AGAP009195,GSTE1,amp,-,glutathione S-transferase epsilon class 1 [Source:VB Community Annotation],3R,28598871,28599816,0.441860465,0.0375,0,0,0.006329114,0,0,0,0.007751938,0,0,0.441860465
45,AGAP009196,GSTE7,amp,+,glutathione S-transferase epsilon class 7 [Source:VB Community Annotation],3R,28600347,28601354,0,0.0375,0,0,0.006329114,0,0,0,0.007751938,0,0,0.0375
46,AGAP009197,GSTE3,amp,-,glutathione S-transferase epsilon class 3 [Source:VB Community Annotation],3R,28601368,28602280,0,0.0375,0,0,0.006329114,0,0,0,0.007751938,0,0,0.0375
47,AGAP009342,GSTU3,amp,+,glutathione S-transferase unclassified 3 [Source:VB Community Annotation],3R,31556477,31558957,0.023255814,0.0375,0.032520325,0.006024096,0.012658228,0.025157233,0.010309278,0.01459854,0.031007752,0.145631068,0.028571429,0.145631068
48,AGAP009946,GSTMS3,amp,+,glutathione transferase microsomal 3 [Source:VB Community Annotation],3R,45853445,45854470,0,0,0,0.006024096,0,0.006289308,0,0,0,0,0,0.006289308
49,AGAP009946,GSTMS3,del,+,glutathione transferase microsomal 3 [Source:VB Community Annotation],3R,45853445,45854470,0,0,0.008130081,0.018072289,0.063291139,0.018867925,0,0.01459854,0.023255814,0.029126214,0.028571429,0.063291139
50,AGAP010404,GSTS1,amp,-,glutathione S-transferase sigma class 1 [Source:VB Community Annotation],3L,2779074,2784473,0,0,0,0,0,0,0.030927835,0.03649635,0.023255814,0.009708738,0.028571429,0.03649635
51,AGAP010404,GSTS1,del,-,glutathione S-transferase sigma class 1 [Source:VB Community Annotation],3L,2779074,2784473,0,0,0.081300813,0.012048193,0.018987342,0.018867925,0,0.051094891,0,0.077669903,0.142857143,0.142857143
