id,gene_id,gene_name,cnv_type,gene_strand,gene_description,contig,start,end,frq_An_arabiensis_2015,frq_An_coluzzii_2012,frq_An_coluzzii_2014,frq_An_coluzzii_2015,frq_An_coluzzii_2016,frq_An_coluzzii_2017,frq_An_gambiae_ss_2012,frq_An_gambiae_ss_2014,frq_An_gambiae_ss_2015,frq_An_gambiae_ss_2016,frq_An_gambiae_ss_2017,max_af
12,AGAP001039,CYP307A1,amp,+,cytochrome P450 [Source:VB Community Annotation],X,20008895,20018400,0,0,0,0,0,0,0.010309278,0,0,0,0,0.010309278
13,AGAP001076,CYP4G16,amp,-,cytochrome P450 [Source:VB Community Annotation],X,22937392,22947129,0,0,0,0.006024096,0,0,0,0,0.007751938,0.009708738,0,0.009708738
14,AGAP001076,CYP4G16,del,-,cytochrome P450 [Source:VB Community Annotation],X,22937392,22947129,0,0.0375,0.032520325,0.006024096,0.006329114,0.037735849,0.010309278,0,0,0,0,0.037735849
15,AGAP001443,CYP325J1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,5058685,5060107,0,0,0,0,0.006329114,0,0,0.00729927,0,0,0,0.00729927
16,AGAP001443,CYP325J1,del,-,cytochrome P450 [Source:VB Community Annotation],2R,5058685,5060107,0.023255814,0,0.024390244,0.012048193,0,0,0,0.02189781,0,0,0.028571429,0.028571429
17,AGAP001861,CYP4H14,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,11508431,11510833,0,0,0,0,0,0.006289308,0,0,0,0,0,0.006289308
18,AGAP001864,CYP4H15,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,11614187,11615787,0,0.0125,0.016260163,0.012048193,0.012658228,0.006289308,0,0.02189781,0.015503876,0.009708738,0,0.02189781
19,AGAP001864,CYP4H15,del,+,cytochrome P450 [Source:VB Community Annotation],2R,11614187,11615787,0,0.0125,0.024390244,0.012048193,0.025316456,0.006289308,0.020618557,0.058394161,0.054263566,0.048543689,0,0.058394161
20,AGAP013305,CYP4H25,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,11617151,11618933,0,0.025,0.016260163,0.012048193,0.025316456,0.012578616,0.020618557,0.01459854,0.007751938,0.009708738,0,0.025316456
21,AGAP013305,CYP4H25,del,+,cytochrome P450 [Source:VB Community Annotation],2R,11617151,11618933,0.046511628,0.025,0.032520325,0.042168675,0.044303797,0.056603774,0.092783505,0.058394161,0.085271318,0.087378641,0.028571429,0.092783505
22,AGAP013224,CYP4H26,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,11619191,11620794,0,0.025,0,0,0,0.006289308,0,0.00729927,0,0,0,0.025
23,AGAP002138,CYP325H1,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,16395816,16397481,0,0,0.008130081,0,0,0,0,0,0,0,0,0.008130081
24,AGAP002195,CYP325F2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17478651,17482206,0,0,0,0.006024096,0,0,0,0,0.007751938,0,0,0.007751938
25,AGAP002202,CYP325E1,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,17566544,17572300,0,0,0.016260163,0.012048193,0,0,0,0,0.007751938,0,0,0.016260163
26,AGAP002202,CYP325E1,del,+,cytochrome P450 [Source:VB Community Annotation],2R,17566544,17572300,0,0.025,0,0,0,0,0,0,0,0,0,0.025
29,AGAP002204,CYP325D1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17575015,17576743,0.790697674,0.65,0.691056911,0.704819277,0.746835443,0.798742138,0.041237113,0.124087591,0.062015504,0.067961165,0.142857143,0.798742138
30,AGAP002204,CYP325D1,del,-,cytochrome P450 [Source:VB Community Annotation],2R,17575015,17576743,0,0.0375,0.008130081,0.012048193,0.018987342,0.006289308,0.154639175,0.197080292,0.162790698,0.165048544,0,0.197080292
31,AGAP002205,CYP325C2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17577423,17580952,0.139534884,0.15,0.325203252,0.246987952,0.32278481,0.238993711,0.030927835,0.131386861,0.069767442,0.145631068,0.085714286,0.325203252
32,AGAP002205,CYP325C2,del,-,cytochrome P450 [Source:VB Community Annotation],2R,17577423,17580952,0,0.0125,0.024390244,0.012048193,0.025316456,0.031446541,0,0.02189781,0.031007752,0.048543689,0,0.048543689
35,AGAP002206,CYP325D2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17586250,17589032,0,0.0375,0.016260163,0.048192771,0.03164557,0.012578616,0.216494845,0.240875912,0.263565891,0.233009709,0.228571429,0.263565891
36,AGAP002206,CYP325D2,del,-,cytochrome P450 [Source:VB Community Annotation],2R,17586250,17589032,0.348837209,0.5625,0.577235772,0.506024096,0.455696203,0.641509434,0.010309278,0.02189781,0.015503876,0,0.028571429,0.641509434
37,AGAP002207,CYP325C1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17589571,17591529,0.209302326,0,0,0.006024096,0.012658228,0,0,0.00729927,0.007751938,0.019417476,0,0.209302326
38,AGAP002207,CYP325C1,del,-,cytochrome P450 [Source:VB Community Annotation],2R,17589571,17591529,0,0.0375,0.056910569,0.090361446,0.088607595,0.100628931,0.020618557,0.00729927,0.062015504,0,0,0.100628931
39,AGAP002208,CYP325A3,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,17594524,17596302,0.23255814,0.1125,0.105691057,0.15060241,0.14556962,0.125786164,0.072164948,0.03649635,0.062015504,0.106796117,0.028571429,0.23255814
40,AGAP002208,CYP325A3,del,+,cytochrome P450 [Source:VB Community Annotation],2R,17594524,17596302,0.023255814,0.25,0.130081301,0.120481928,0.082278481,0.157232704,0,0,0.007751938,0,0,0.25
41,AGAP002209,CYP325A2,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,17598960,17600720,0.023255814,0.0625,0.113821138,0.072289157,0.132911392,0.06918239,0,0,0.015503876,0,0.028571429,0.132911392
42,AGAP002209,CYP325A2,del,+,cytochrome P450 [Source:VB Community Annotation],2R,17598960,17600720,0,0,0,0.006024096,0,0,0.010309278,0,0,0,0,0.010309278
43,AGAP002210,CYP325B1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17601493,17603299,0.023255814,0.0125,0.113821138,0.072289157,0.120253165,0.062893082,0.010309278,0,0,0,0.028571429,0.120253165
44,AGAP002211,CYP325A1,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,17604120,17605885,0.279069767,0.6,0.585365854,0.590361446,0.702531646,0.691823899,0,0,0,0,0,0.702531646
45,AGAP002416,CYP4K2,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,21047645,21049457,0,0,0,0,0,0,0,0.00729927,0,0,0,0.00729927
46,AGAP002416,CYP4K2,del,+,cytochrome P450 [Source:VB Community Annotation],2R,21047645,21049457,0,0,0.008130081,0,0,0,0,0,0,0,0,0.008130081
47,AGAP002417,CYP4AR1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,21049463,21051719,0,0,0,0,0,0,0,0.00729927,0,0,0,0.00729927
48,AGAP002417,CYP4AR1,del,-,cytochrome P450 [Source:VB Community Annotation],2R,21049463,21051719,0,0,0.008130081,0,0,0,0,0,0,0,0,0.008130081
49,AGAP002418,CYP4D15,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,21054655,21057484,0,0,0,0,0,0,0,0.00729927,0,0.009708738,0,0.009708738
50,AGAP012957,CYP4D17,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,21058285,21060905,0,0,0,0,0,0,0,0.00729927,0,0.009708738,0,0.009708738
51,AGAP013241,CYP4D16,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,21061611,21063654,0,0,0.008130081,0,0.012658228,0.006289308,0.051546392,0.051094891,0.03875969,0.009708738,0,0.051546392
52,AGAP002419,CYP4D22,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,21065272,21067725,0,0,0,0,0,0,0,0.01459854,0.015503876,0,0,0.015503876
53,AGAP002419,CYP4D22,del,+,cytochrome P450 [Source:VB Community Annotation],2R,21065272,21067725,0.023255814,0,0.008130081,0.012048193,0.006329114,0,0,0,0,0,0,0.023255814
54,AGAP002555,CYP325K1,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,22785584,22787760,0.023255814,0,0,0,0,0,0,0.00729927,0.007751938,0.009708738,0,0.023255814
55,AGAP002862,CYP6AA1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28480576,28482637,0.11627907,0.9125,0.869918699,0.921686747,0.898734177,0.798742138,0.041237113,0.065693431,0.069767442,0.038834951,0.057142857,0.921686747
56,AGAP013128,CYP6AA2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28483301,28484921,0,0.825,0.869918699,0.903614458,0.898734177,0.742138365,0.041237113,0.065693431,0.069767442,0.038834951,0.057142857,0.903614458
57,AGAP002864,CYP6P15P,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28487640,28489092,0,0.525,0.593495935,0.680722892,0.740506329,0.603773585,0.010309278,0.02919708,0.007751938,0.019417476,0,0.740506329
58,AGAP002865,CYP6P3,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28491415,28493141,0,0.0375,0.06504065,0.072289157,0.17721519,0.113207547,0.010309278,0.02919708,0.015503876,0.009708738,0,0.17721519
59,AGAP002865,CYP6P3,del,-,cytochrome P450 [Source:VB Community Annotation],2R,28491415,28493141,0,0,0,0,0,0,0.113402062,0,0,0,0,0.113402062
60,AGAP002866,CYP6P5,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28494017,28495645,0.023255814,0.0375,0.056910569,0.078313253,0.183544304,0.075471698,0.020618557,0.02919708,0.031007752,0.077669903,0,0.183544304
61,AGAP002867,CYP6P4,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28497087,28498674,0.046511628,0.0375,0.056910569,0.090361446,0.17721519,0.106918239,0.010309278,0.02919708,0.085271318,0.106796117,0,0.17721519
62,AGAP002868,CYP6P1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28499251,28500900,0.046511628,0.0375,0.048780488,0.084337349,0.113924051,0.088050314,0.010309278,0.02919708,0.054263566,0.077669903,0,0.113924051
63,AGAP002869,CYP6P2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28501033,28502910,0.023255814,0.0375,0.048780488,0.054216867,0.069620253,0.075471698,0.010309278,0.02919708,0.007751938,0.038834951,0,0.075471698
64,AGAP002870,CYP6AD1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,28504248,28505816,0,0.0375,0.048780488,0.054216867,0.044303797,0.056603774,0.010309278,0.02919708,0.007751938,0.009708738,0,0.056603774
65,AGAP002894,CYP6Z4,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,28981542,28983105,0.186046512,0,0.032520325,0,0.006329114,0,0,0.02919708,0,0.009708738,0,0.186046512
67,AGAP003065,CYP11179,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,31947584,31949301,0,0,0,0,0,0,0,0.00729927,0.007751938,0,0,0.007751938
68,AGAP003065,CYP11179,del,-,cytochrome P450 [Source:VB Community Annotation],2R,31947584,31949301,0,0,0.024390244,0.006024096,0,0,0.010309278,0,0,0.009708738,0,0.024390244
70,AGAP003066,CYP304B1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,31949547,31951494,0,0,0,0.018072289,0.006329114,0.012578616,0,0.00729927,0.054263566,0.029126214,0,0.054263566
72,AGAP003067,CYP304C1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,31952279,31954524,0,0,0,0.030120482,0.018987342,0.012578616,0,0.00729927,0.062015504,0.058252427,0,0.062015504
73,AGAP003343,CYP6AG1,del,+,cytochrome P450 [Source:VB Community Annotation],2R,36314370,36316256,0.023255814,0,0,0.006024096,0,0,0,0,0.007751938,0,0,0.023255814
74,AGAP013511,CYP6AG2,del,+,cytochrome P450 [Source:VB Community Annotation],2R,36318188,36325675,0.023255814,0,0.024390244,0.006024096,0.006329114,0,0,0.01459854,0.007751938,0.009708738,0,0.024390244
77,AGAP004665,CYP306A1,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,60686982,60706109,0.162790698,0.0625,0.178861789,0.301204819,0.291139241,0.169811321,0.020618557,0.284671533,0.178294574,0.339805825,0.628571429,0.628571429
78,AGAP004665,CYP306A1,del,+,cytochrome P450 [Source:VB Community Annotation],2R,60686982,60706109,0,0,0,0.012048193,0.012658228,0.018867925,0,0.00729927,0,0,0,0.018867925
79,AGAP005656,CYP305A1,amp,-,cytochrome P450 [Source:VB Community Annotation],2L,18340786,18345362,0,0,0,0.006024096,0,0.006289308,0,0,0.031007752,0.009708738,0,0.031007752
80,AGAP005656,CYP305A1,del,-,cytochrome P450 [Source:VB Community Annotation],2L,18340786,18345362,0.023255814,0.0125,0,0,0,0,0,0,0,0,0,0.023255814
81,AGAP005657,CYP305A3,amp,-,cytochrome P450 [Source:VB Community Annotation],2L,18346305,18347977,0,0.0125,0,0,0,0,0.010309278,0.00729927,0,0,0,0.0125
82,AGAP005657,CYP305A3,del,-,cytochrome P450 [Source:VB Community Annotation],2L,18346305,18347977,0.837209302,0.3125,0.235772358,0.13253012,0.056962025,0.144654088,0.278350515,0.189781022,0.139534884,0.106796117,0.057142857,0.837209302
83,AGAP005658,CYP15B1,amp,+,cytochrome P450 [Source:VB Community Annotation],2L,18348979,18350777,0,0.0125,0.008130081,0,0,0,0,0,0,0,0,0.0125
84,AGAP005658,CYP15B1,del,+,cytochrome P450 [Source:VB Community Annotation],2L,18348979,18350777,0,0,0,0.006024096,0.006329114,0,0.010309278,0,0,0.009708738,0,0.010309278
85,AGAP005660,CYP305A4,del,+,cytochrome P450 [Source:VB Community Annotation],2L,18353521,18355707,0.162790698,0.2,0.048780488,0.048192771,0.044303797,0.044025157,0.06185567,0.065693431,0.023255814,0.009708738,0.028571429,0.2
86,AGAP005992,CYP302A1,amp,-,cytochrome P450 [Source:VB Community Annotation],2L,24570245,24572409,0,0,0,0,0,0.006289308,0,0,0,0.009708738,0,0.009708738
87,AGAP006047,CYP4J9,amp,-,cytochrome P450 [Source:VB Community Annotation],2L,25632214,25633880,0,0,0,0.006024096,0.012658228,0.012578616,0.010309278,0,0.015503876,0.019417476,0.028571429,0.028571429
88,AGAP006048,CYP4J5,amp,-,cytochrome P450 [Source:VB Community Annotation],2L,25634131,25636189,0,0,0,0,0.012658228,0,0.010309278,0,0.015503876,0.009708738,0.028571429,0.028571429
89,AGAP007480,CYP6AH1,amp,+,cytochrome P450 [Source:VB Community Annotation],2L,46845944,46847857,0,0,0,0,0,0.006289308,0,0,0,0,0,0.006289308
90,AGAP007480,CYP6AH1,del,+,cytochrome P450 [Source:VB Community Annotation],2L,46845944,46847857,0,0,0.016260163,0,0,0,0,0,0,0,0,0.016260163
91,AGAP008018,CYP12F4,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,4318846,4320925,0,0.025,0,0,0,0.006289308,0,0.00729927,0,0,0,0.025
92,AGAP008018,CYP12F4,del,+,cytochrome P450 [Source:VB Community Annotation],3R,4318846,4320925,0,0,0,0,0,0,0,0.00729927,0,0,0,0.00729927
93,AGAP008019,CYP12F3,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,4321507,4323866,0,0,0.008130081,0,0.012658228,0.006289308,0.072164948,0.065693431,0.054263566,0.067961165,0.057142857,0.072164948
94,AGAP008020,CYP12F2,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,4324183,4326568,0,0,0,0,0,0,0.072164948,0.051094891,0.03875969,0.097087379,0.085714286,0.097087379
95,AGAP008020,CYP12F2,del,+,cytochrome P450 [Source:VB Community Annotation],3R,4324183,4326568,0.697674419,0.7625,0.804878049,0.795180723,0.753164557,0.823899371,0.24742268,0.138686131,0.11627907,0.038834951,0,0.823899371
96,AGAP008022,CYP12F1,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,4326728,4328812,0,0,0,0,0,0,0.144329897,0.153284672,0.07751938,0.13592233,0.171428571,0.171428571
97,AGAP008203,CYP6S2,del,+,cytochrome P450 [Source:VB Community Annotation],3R,6903106,6904696,0.162790698,0.9125,0.504065041,0.295180723,0.272151899,0.213836478,0.835051546,0.343065693,0.302325581,0.145631068,0.114285714,0.9125
98,AGAP008204,CYP6S1,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,6904974,6906767,0.023255814,0,0,0.006024096,0,0.006289308,0,0,0,0,0,0.023255814
99,AGAP008204,CYP6S1,del,+,cytochrome P450 [Source:VB Community Annotation],3R,6904974,6906767,0,0.0125,0,0,0,0,0,0,0,0,0,0.076923077
100,AGAP008205,CYP6R1,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6906780,6908555,0.023255814,0.0125,0,0.006024096,0,0.012578616,0,0,0,0,0,0.023255814
101,AGAP008206,CYP6N2,amp,-,Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GXK7],3R,6908594,6910484,0.023255814,0,0,0,0,0.012578616,0,0,0,0,0,0.023255814
102,AGAP008206,CYP6N2,del,-,Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GXK7],3R,6908594,6910484,0,0,0,0,0,0,0,0,0.007751938,0,0,0.007751938
103,AGAP008207,CYP6Y2,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6911262,6913091,0.023255814,0,0,0,0,0.006289308,0.010309278,0.00729927,0,0,0,0.023255814
104,AGAP008207,CYP6Y2,del,-,cytochrome P450 [Source:VB Community Annotation],3R,6911262,6913091,0,0,0,0,0,0,0,0,0.007751938,0,0,0.007751938
105,AGAP008208,CYP6Y1,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6913683,6915393,0.023255814,0,0,0,0,0.006289308,0,0.00729927,0.007751938,0.009708738,0,0.023255814
106,AGAP008208,CYP6Y1,del,-,cytochrome P450 [Source:VB Community Annotation],3R,6913683,6915393,0,0,0,0,0,0,0,0,0.007751938,0,0,0.007751938
107,AGAP008209,CYP6M1,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,6915902,6917581,0.023255814,0,0,0,0,0.012578616,0,0.00729927,0.007751938,0.009708738,0,0.023255814
108,AGAP008209,CYP6M1,del,+,cytochrome P450 [Source:VB Community Annotation],3R,6915902,6917581,0,0,0,0,0,0,0,0,0.007751938,0,0,0.007751938
109,AGAP008210,CYP6N1,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6922017,6922439,0.441860465,0.275,0.382113821,0.403614458,0.272151899,0.547169811,0.319587629,0.364963504,0.449612403,0.233009709,0.085714286,0.615384615
110,AGAP008212,CYP6M2,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,6928858,6930547,0.023255814,0.025,0.008130081,0.006024096,0.012658228,0.031446541,0,0,0,0.019417476,0.057142857,0.057142857
111,AGAP008213,CYP6M3,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,6931811,6933699,0.023255814,0.025,0.048780488,0.006024096,0.006329114,0.044025157,0,0,0.031007752,0.019417476,0.028571429,0.048780488
112,AGAP008214,CYP6M4,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,6933859,6935721,0.023255814,0.0125,0,0,0,0,0.010309278,0,0.03875969,0.009708738,0,0.03875969
113,AGAP008217,CYP6Z3,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6971582,6973413,0.023255814,0.0125,0.008130081,0.030120482,0,0.025157233,0.175257732,0.343065693,0.348837209,0.310679612,0.6,0.6
114,AGAP008217,CYP6Z3,del,-,cytochrome P450 [Source:VB Community Annotation],3R,6971582,6973413,0,0.0125,0,0,0.006329114,0,0,0,0,0,0,0.0125
115,AGAP008218,CYP6Z2,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6973779,6975563,0.023255814,0.05,0.056910569,0.030120482,0.006329114,0.037735849,0.195876289,0.350364964,0.348837209,0.310679612,0.6,0.6
116,AGAP008218,CYP6Z2,del,-,cytochrome P450 [Source:VB Community Annotation],3R,6973779,6975563,0,0,0,0.024096386,0.006329114,0.018867925,0.030927835,0.00729927,0,0,0,0.076923077
117,AGAP008219,CYP6Z1,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,6976501,6978142,0.023255814,0,0.008130081,0,0,0,0.175257732,0.328467153,0.333333333,0.310679612,0.6,0.6
118,AGAP028019,CYP4H18,amp,+,Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4HCN4],3R,9911600,9913693,0.186046512,0,0,0,0,0,0,0,0,0.009708738,0,0.186046512
119,AGAP008358,CYP4H17,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,9926150,9927906,0,0,0,0,0,0,0,0,0,0.019417476,0,0.019417476
120,AGAP008552,CYP4H27,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,12569038,12574028,0,0,0.016260163,0.018072289,0.012658228,0.012578616,0.010309278,0.02189781,0,0.009708738,0,0.02189781
121,AGAP009240,CYP4C35,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,29201633,29204719,0,0,0,0,0,0.006289308,0,0.00729927,0,0,0.028571429,0.028571429
122,AGAP009240,CYP4C35,del,-,cytochrome P450 [Source:VB Community Annotation],3R,29201633,29204719,0,0.0125,0,0,0,0,0,0,0,0,0,0.0125
123,AGAP009241,CYP4C36,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,29222046,29224369,0.023255814,0,0.016260163,0.006024096,0.025316456,0,0,0.00729927,0,0.019417476,0.028571429,0.028571429
124,AGAP009246,CYP4C27,del,-,Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0K4],3R,29380577,29386394,0,0,0,0,0.006329114,0,0,0,0,0,0,0.006329114
125,AGAP009363,CYP9M1,del,-,cytochrome P450 [Source:VB Community Annotation],3R,31793155,31795094,0.906976744,0.95,0.821138211,0.819277108,0.784810127,0.842767296,0.979381443,0.934306569,0.868217054,0.844660194,0.771428571,0.979381443
126,AGAP009374,CYP9M1,del,-,cytochrome P450 [Source:VB Community Annotation],3R,31842847,31844432,0.976744186,0.9875,0.910569106,0.915662651,0.905063291,0.949685535,0.989690722,0.97810219,0.96124031,0.961165049,0.942857143,1
127,AGAP009375,CYP9M2,amp,-,cytochrome P450 [Source:VB Community Annotation],3R,31847523,31849112,0,0,0.008130081,0,0,0,0,0,0,0,0,0.008130081
128,AGAP009375,CYP9M2,del,-,cytochrome P450 [Source:VB Community Annotation],3R,31847523,31849112,0.860465116,0.8125,0.528455285,0.614457831,0.594936709,0.578616352,0.783505155,0.627737226,0.627906977,0.572815534,0.6,0.860465116
129,AGAP009696,CYP325C3,amp,+,cytochrome P450 [Source:VB Community Annotation],3R,38988757,38990755,0.093023256,0.0375,0.18699187,0.144578313,0.126582278,0.075471698,0.010309278,0.065693431,0.015503876,0.126213592,0.057142857,0.18699187
130,AGAP009696,CYP325C3,del,+,cytochrome P450 [Source:VB Community Annotation],3R,38988757,38990755,0,0.0125,0.016260163,0.006024096,0,0.006289308,0,0,0,0,0,0.016260163
131,AGAP010414,CYP4C28,del,-,cytochrome P450 [Source:VB Community Annotation],3L,2957234,2971078,0.093023256,0.175,0.349593496,0.34939759,0.537974684,0.389937107,0.06185567,0.277372263,0.124031008,0.310679612,0.371428571,0.537974684
132,AGAP010961,CYP6AK1,del,-,cytochrome P450 [Source:VB Community Annotation],3L,13839175,13854449,1,1,0.967479675,0.993975904,1,1,0.989690722,0.99270073,0.984496124,0.990291262,1,1
135,AGAP010966,CYP6AJ1,amp,+,cytochrome P450 [Source:VB Community Annotation],3L,13964171,13966158,0,0,0,0.006024096,0.012658228,0.006289308,0,0.00729927,0,0,0,0.012658228
136,AGAP010966,CYP6AJ1,del,+,cytochrome P450 [Source:VB Community Annotation],3L,13964171,13966158,0,0,0.008130081,0,0.012658228,0.006289308,0,0.00729927,0.015503876,0.019417476,0,0.019417476
137,AGAP011028,CYP6AF1,amp,-,cytochrome P450 [Source:VB Community Annotation],3L,14600396,14602874,0.023255814,0,0,0,0,0,0,0,0,0,0,0.023255814
138,AGAP011028,CYP6AF1,del,-,cytochrome P450 [Source:VB Community Annotation],3L,14600396,14602874,0,0.95,0.861788618,0.885542169,0.873417722,0.886792453,0.87628866,0.686131387,0.76744186,0.631067961,0.657142857,0.95
139,AGAP011029,CYP6AF2,amp,-,cytochrome P450 [Source:VB Community Annotation],3L,14610081,14612519,0,0,0.016260163,0.060240964,0.082278481,0.018867925,0,0,0,0,0,0.082278481
140,AGAP011029,CYP6AF2,del,-,cytochrome P450 [Source:VB Community Annotation],3L,14610081,14612519,1,0.3,0.268292683,0.246987952,0.17721519,0.301886792,0.855670103,0.649635036,0.651162791,0.59223301,0.514285714,1
141,AGAP012291,CYP9J3,amp,+,Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H8W2],3L,39811767,39813716,0.023255814,0,0,0.012048193,0.012658228,0.012578616,0,0,0,0.029126214,0,0.029126214
142,AGAP012292,CYP9J4,amp,+,cytochrome P450 [Source:VB Community Annotation],3L,39814231,39816748,0.046511628,0,0,0,0,0.006289308,0,0,0,0,0,0.046511628
143,AGAP012293,CYP9L3,amp,+,cytochrome P450 [Source:VB Community Annotation],3L,39817658,39818599,0,0,0,0,0,0.006289308,0,0,0,0,0,0.006289308
144,AGAP012293,CYP9L3,del,+,cytochrome P450 [Source:VB Community Annotation],3L,39817658,39818599,0,0.0125,0.016260163,0.018072289,0.006329114,0,0.041237113,0.00729927,0,0,0,0.041237113
